Year,Continent,WeightedObesity,Population,Obesity_count
1975,Africa,3.2,410121103.0,13091466
1975,Asia,1.0,2367747749.0,23461100
1975,Europe,10.2,675323966.0,68994080
1975,North America,10.6,342579237.0,36188445
1975,Oceania,9.8,21395563.0,2105149
1975,South America,6.8,215076285.0,14579453
1976,Africa,3.3,421474247.0,13927729
1976,Asia,1.1,2415101065.0,25510153
1976,Europe,10.5,678913306.0,71164700
1976,North America,10.9,347486757.0,37744184
1976,Oceania,10.1,21669348.0,2195522
1976,South America,7.1,219947921.0,15536470
1977,Africa,3.4,433259852.0,14872280
1977,Asia,1.1,2461450825.0,27034328
1977,Europe,10.7,682286528.0,73221032
1977,North America,11.2,352499075.0,39568522
1977,Oceania,10.3,21947712.0,2270687
1977,South America,7.3,224921517.0,16399684
1978,Africa,3.6,445471406.0,15897532
1978,Asia,1.2,2508429418.0,29446026
1978,Europe,11.0,685586719.0,75395079
1978,North America,11.6,357616996.0,41454822
1978,Oceania,10.7,22228373.0,2368221
1978,South America,7.6,229997749.0,17460871
1979,Africa,3.7,458108258.0,16874935
1979,Asia,1.2,2556458087.0,31011317
1979,Europe,11.3,688867516.0,77694753
1979,North America,11.9,362875654.0,43183787
1979,Oceania,10.9,22490687.0,2458333
1979,South America,7.9,235174398.0,18537572
1980,Africa,3.8,471158802.0,18008617
1980,Asia,1.3,2604904960.0,33406719
1980,Europe,11.6,692231504.0,79996599
1980,North America,12.3,367934839.0,45136437
1980,Oceania,11.2,22796423.0,2558953
1980,South America,8.2,240446440.0,19689024
1981,Africa,3.9,484613578.0,19139877
1981,Asia,1.4,2654889958.0,36296273
1981,Europe,11.8,695419715.0,82169192
1981,North America,12.6,373080503.0,47146415
1981,Oceania,11.5,23173211.0,2672600
1981,South America,8.5,245814915.0,20901256
1982,Africa,4.1,498471913.0,20415522
1982,Asia,1.4,2707938228.0,38509968
1982,Europe,12.1,698094038.0,84540568
1982,North America,13.1,378196415.0,49415490
1982,Oceania,11.8,23590438.0,2791372
1982,South America,8.8,251271126.0,22120043
1983,Africa,4.2,512743619.0,21758380
1983,Asia,1.5,2761666472.0,42247673
1983,Europe,12.4,700505142.0,86634862
1983,North America,13.5,383209655.0,51582606
1983,Oceania,12.1,23962440.0,2909877
1983,South America,9.2,256787340.0,23520745
1984,Africa,4.4,527448293.0,23346225
1984,Asia,1.6,2814672796.0,44616823
1984,Europe,12.7,703088716.0,89014461
1984,North America,13.9,388127646.0,53954838
1984,Oceania,12.4,24302445.0,3022892
1984,South America,9.5,262327535.0,24849218
1985,Africa,4.6,542585579.0,24954796
1985,Asia,1.7,2868622281.0,48934687
1985,Europe,12.9,705745661.0,91203714
1985,North America,14.3,393110413.0,56362433
1985,Oceania,12.8,24670766.0,3161409
1985,South America,9.8,267863543.0,26379881
